x,h4,h3,h2,h1
8,24,1.5,7,6
9,33,2.5,12,6
10,25,1.5,7,6
11,34,3,12.5,6
12,24,1,7,7
13,30,3,10,6.5
14,30,11,6.5
15,21,3,6.5,6.5
18,25,8,10,6
21,19,10,9,6.5
24,23,19,12,1
27,21,15,12,6
28,22,14,12,6
29,21,13,11,6
30,12,6,3,6
31,20,14,13,6
32,22,13,13,6
33,23,16,15,7
34,24,11,12,7
40,19,10,8,8
42,18,11,9,8
44,16,11,7,7
46,19,14,10,7
48,17,12,8,8
50,17,12,10,8
52,17,13,9,8
54,15,13,8,8
56,15,13,8,2
57,17,14,10,8
59,18,14,10,8
63,17,10,8,8
64,18,9,7,7
65,20,9,8,8
67,22,7,8,8
69,21,5,7,7
71,23,5,7,7
73,25,4,8,7
76,22,4,7,7
78,22,5,7,8
80,17,6,5,8
81,16,6,5,8
82,15,7,5,7
83,13,7,4,8




